Date,Home,Away,Time,TV
Monday 18 November 2024,San Jose Sharks,Detroit Red Wings,22:30,
Tuesday 19 November 2024,Ottawa Senators,Edmonton Oilers,19:00,
Tuesday 19 November 2024,Pittsburgh Penguins,Tampa Bay Lightning,19:00,
Tuesday 19 November 2024,St. Louis Blues,Minnesota Wild,20:00,
Tuesday 19 November 2024,Winnipeg Jets,Florida Panthers,20:00,
Tuesday 19 November 2024,Chicago Blackhawks,Anaheim Ducks,20:30,
Tuesday 19 November 2024,Calgary Flames,New York Rangers,21:00,
Tuesday 19 November 2024,Vancouver Canucks,New York Islanders,22:00,
Wednesday 20 November 2024,Toronto Maple Leafs,Vegas Golden Knights,19:30,
Wednesday 20 November 2024,Philadelphia Flyers,Carolina Hurricanes,19:30,
Wednesday 20 November 2024,Dallas Stars,San Jose Sharks,20:00,
Wednesday 20 November 2024,Seattle Kraken,Nashville Predators,22:00,
Wednesday 20 November 2024,Los Angeles Kings,Buffalo Sabres,22:30,
Thursday 21 November 2024,Boston Bruins,Utah Jazz,19:00,
Thursday 21 November 2024,Ottawa Senators,Vegas Golden Knights,19:00,
Thursday 21 November 2024,Detroit Red Wings,New York Rangers,19:00,
Thursday 21 November 2024,New Jersey Devils,Carolina Hurricanes,19:00,
Thursday 21 November 2024,Washington Capitals,Colorado Avalanche,19:00,
Thursday 21 November 2024,Columbus Blue Jackets,Tampa Bay Lightning,19:00,
Thursday 21 November 2024,St. Louis Blues,San Jose Sharks,20:00,
Thursday 21 November 2024,Chicago Blackhawks,Florida Panthers,20:30,
Thursday 21 November 2024,Calgary Flames,New York Islanders,21:00,
Thursday 21 November 2024,Edmonton Oilers,Minnesota Wild,21:00,
Friday 22 November 2024,Pittsburgh Penguins,Winnipeg Jets,19:00,
Friday 22 November 2024,Anaheim Ducks,Buffalo Sabres,22:00,
