Date,Home,Away,Time,TV
Saturday 23 November 2024,Milwaukee Bucks,Charlotte Hornets,20:00,NBA League Pass
Saturday 23 November 2024,San Antonio Spurs,Golden State Warriors,20:30,NBA League Pass
Sunday 24 November 2024,Boston Celtics,Minnesota Timberwolves,15:30,NBA League Pass
Sunday 24 November 2024,Indiana Pacers,Washington Wizards,17:00,NBA League Pass
Sunday 24 November 2024,Miami Heat,Dallas Mavericks,18:00,NBA League Pass
Sunday 24 November 2024,Philadelphia 76ers,LA Clippers,18:00,NBA League Pass
Sunday 24 November 2024,Cleveland Cavaliers,Toronto Raptors,19:30,NBA League Pass
Sunday 24 November 2024,Sacramento Kings,Brooklyn Nets,21:00,NBA League Pass
Monday 25 November 2024,Atlanta Hawks,Dallas Mavericks,19:30,NBATV
Monday 25 November 2024,Sacramento Kings,Oklahoma City Thunder,22:00,NBATV
Monday 25 November 2024,Charlotte Hornets,Orlando Magic,19:00,NBA League Pass
Monday 25 November 2024,Detroit Pistons,Toronto Raptors,19:00,NBA League Pass
Monday 25 November 2024,Indiana Pacers,New Orleans Pelicans,19:00,NBA League Pass
Monday 25 November 2024,Boston Celtics,LA Clippers,19:30,NBA League Pass
Monday 25 November 2024,Memphis Grizzlies,Portland Trail Blazers,20:00,NBA League Pass
Monday 25 November 2024,Denver Nuggets,New York Knicks,21:00,NBA League Pass
Monday 25 November 2024,Golden State Warriors,Brooklyn Nets,22:00,NBA League Pass
Tuesday 26 November 2024,Miami Heat,Milwaukee Bucks,19:30,TNT
Tuesday 26 November 2024,Phoenix Suns,Los Angeles Lakers,22:00,TNT
Tuesday 26 November 2024,Washington Wizards,Chicago Bulls,19:00,NBA League Pass
Tuesday 26 November 2024,Minnesota Timberwolves,Houston Rockets,20:00,NBA League Pass
Tuesday 26 November 2024,Utah Jazz,San Antonio Spurs,21:00,NBA League Pass
Wednesday 27 November 2024,Dallas Mavericks,New York Knicks,19:30,ESPN
Wednesday 27 November 2024,Golden State Warriors,Oklahoma City Thunder,22:00,ESPN
Wednesday 27 November 2024,Charlotte Hornets,Miami Heat,19:00,NBA League Pass
Wednesday 27 November 2024,Cleveland Cavaliers,Atlanta Hawks,19:00,NBA League Pass
Wednesday 27 November 2024,Indiana Pacers,Portland Trail Blazers,19:00,NBA League Pass
Wednesday 27 November 2024,Orlando Magic,Chicago Bulls,19:00,NBA League Pass
Wednesday 27 November 2024,Philadelphia 76ers,Houston Rockets,19:00,NBA League Pass
Wednesday 27 November 2024,Washington Wizards,LA Clippers,19:00,NBA League Pass
Wednesday 27 November 2024,Memphis Grizzlies,Detroit Pistons,20:00,NBA League Pass
Wednesday 27 November 2024,Minnesota Timberwolves,Sacramento Kings,20:00,NBA League Pass
Wednesday 27 November 2024,New Orleans Pelicans,Toronto Raptors,20:00,NBA League Pass
Wednesday 27 November 2024,San Antonio Spurs,Los Angeles Lakers,20:30,NBA League Pass
Wednesday 27 November 2024,Phoenix Suns,Brooklyn Nets,21:00,NBA League Pass
Wednesday 27 November 2024,Utah Jazz,Denver Nuggets,21:00,NBA League Pass
Friday 29 November 2024,Minnesota Timberwolves,LA Clippers,19:30,ESPN
Friday 29 November 2024,Los Angeles Lakers,Oklahoma City Thunder,22:00,ESPN
Friday 29 November 2024,Charlotte Hornets,New York Knicks,12:00,NBATV
Friday 29 November 2024,Atlanta Hawks,Cleveland Cavaliers,14:30,NBATV
Friday 29 November 2024,Memphis Grizzlies,New Orleans Pelicans,17:00,NBATV
Friday 29 November 2024,Brooklyn Nets,Orlando Magic,19:30,NBA League Pass
Friday 29 November 2024,Indiana Pacers,Detroit Pistons,20:00,NBA League Pass
Friday 29 November 2024,Miami Heat,Toronto Raptors,20:00,NBA League Pass
Friday 29 November 2024,Chicago Bulls,Boston Celtics,20:00,NBA League Pass
Friday 29 November 2024,Portland Trail Blazers,Sacramento Kings,22:00,NBA League Pass
Saturday 30 November 2024,Phoenix Suns,Golden State Warriors,21:00,NBATV
Saturday 30 November 2024,Charlotte Hornets,Atlanta Hawks,18:00,NBA League Pass
Saturday 30 November 2024,Detroit Pistons,Philadelphia 76ers,19:00,NBA League Pass
Saturday 30 November 2024,Milwaukee Bucks,Washington Wizards,20:00,NBA League Pass
Saturday 30 November 2024,Utah Jazz,Dallas Mavericks,21:30,NBA League Pass
Sunday 1 December 2024,Brooklyn Nets,Orlando Magic,15:30,NBA League Pass
Sunday 1 December 2024,Memphis Grizzlies,Indiana Pacers,15:30,NBA League Pass
Sunday 1 December 2024,Cleveland Cavaliers,Boston Celtics,18:00,NBA League Pass
Sunday 1 December 2024,New York Knicks,New Orleans Pelicans,18:00,NBA League Pass
Sunday 1 December 2024,Toronto Raptors,Miami Heat,18:00,NBA League Pass
Sunday 1 December 2024,Houston Rockets,Oklahoma City Thunder,19:00,NBA League Pass
Sunday 1 December 2024,Utah Jazz,Los Angeles Lakers,20:00,NBA League Pass
Sunday 1 December 2024,Portland Trail Blazers,Dallas Mavericks,21:00,NBA League Pass
Sunday 1 December 2024,Sacramento Kings,San Antonio Spurs,21:00,NBA League Pass
Sunday 1 December 2024,LA Clippers,Denver Nuggets,22:00,NBA League Pass
Monday 2 December 2024,Atlanta Hawks,New Orleans Pelicans,19:30,NBA League Pass
Monday 2 December 2024,Boston Celtics,Miami Heat,19:30,NBA League Pass
Monday 2 December 2024,Chicago Bulls,Brooklyn Nets,20:00,NBA League Pass
Monday 2 December 2024,Minnesota Timberwolves,Los Angeles Lakers,20:00,NBATV
Tuesday 3 December 2024,Charlotte Hornets,Philadelphia 76ers,19:00,NBA League Pass
Tuesday 3 December 2024,Cleveland Cavaliers,Washington Wizards,19:00,NBA League Pass
Tuesday 3 December 2024,Detroit Pistons,Milwaukee Bucks,19:00,NBA League Pass
Tuesday 3 December 2024,New York Knicks,Orlando Magic,19:30,TNT
Tuesday 3 December 2024,Toronto Raptors,Indiana Pacers,19:30,NBA League Pass
Tuesday 3 December 2024,Oklahoma City Thunder,Utah Jazz,20:00,NBA League Pass
Tuesday 3 December 2024,Dallas Mavericks,Memphis Grizzlies,20:30,NBA League Pass
Tuesday 3 December 2024,Phoenix Suns,San Antonio Spurs,21:00,NBA League Pass
Tuesday 3 December 2024,Sacramento Kings,Houston Rockets,22:00,NBA League Pass
Tuesday 3 December 2024,Denver Nuggets,Golden State Warriors,22:00,TNT
Tuesday 3 December 2024,LA Clippers,Portland Trail Blazers,22:30,NBA League Pass
Wednesday 4 December 2024,Boston Celtics,Detroit Pistons,19:30,NBA League Pass
Wednesday 4 December 2024,Brooklyn Nets,Indiana Pacers,19:30,NBA League Pass
Wednesday 4 December 2024,Miami Heat,Los Angeles Lakers,19:30,NBATV
Wednesday 4 December 2024,Philadelphia 76ers,Orlando Magic,19:30,NBA League Pass
Wednesday 4 December 2024,Milwaukee Bucks,Atlanta Hawks,20:00,NBA League Pass
Wednesday 4 December 2024,LA Clippers,Minnesota Timberwolves,22:30,NBATV
Thursday 5 December 2024,Cleveland Cavaliers,Denver Nuggets,19:00,NBATV
Thursday 5 December 2024,Washington Wizards,Dallas Mavericks,19:00,NBA League Pass
Thursday 5 December 2024,New York Knicks,Charlotte Hornets,19:30,NBA League Pass
Thursday 5 December 2024,Toronto Raptors,Oklahoma City Thunder,19:30,NBA League Pass
